MemId,Name,Family,Region,ImageUrl,IsClarified,EditTime
11001,علی آذری,,قوچان و فاروج,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11001,False,2023-11-05T16:46:56.009082
11002,منصور آرامی,,بندرعباس، قشم، ابوموسی،حاجی‌آباد و خمیر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11002,False,2023-11-05T16:46:56.009082
11003,رضا آریان پور,,مینودشت، کلاله، گالیکش و مراوه‌تپه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11003,False,2023-11-05T16:46:56.009082
11004,الهام آزاد,,نائین، خور و بیابانک,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11004,False,2023-11-05T16:46:56.009082
11005,احد آزادی خواه,,ملایر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11005,False,2023-11-05T16:46:56.009082
11006,محمد آشوری تازیانی,,بندرعباس، قشم، ابوموسی،حاجی‌آباد و خمیر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11006,False,2023-11-05T16:46:56.009082
11007,محمدحسن آصفری,,اراک، کمیجان و خنداب,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11007,False,2023-11-05T16:46:56.009082
11010,مرتضی آقاتهرانی,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11010,False,2023-11-05T16:46:56.009082
11008,حبیب آقاجری,,بندرماهشهر، امیدیه، هندیجان و بخش جولکی,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11008,False,2023-11-05T16:46:56.009082
11009,سیدعلی آقازاده دافساری,,رشت,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11009,False,2023-11-05T16:46:56.009082
11011,سیدمصطفی آقامیرسلیم,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11011,False,2023-11-05T16:46:56.009082
11012,سیداحمد آوائی,,دزفول,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11012,False,2023-11-05T16:46:56.009082
11013,یحیی ابراهیمی,,دلفان و سلسله,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11013,False,2023-11-05T16:46:56.009082
