MemId,Name,Family,Region,ImageUrl,IsClarified
11045,هادی بیگی نژاد,,ملایر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11045,f
11046,معصومه پاشائی بهرام,,مرند و جلفا,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11046,f
11047,علیرضا پاک فطرت,,شیراز و زرقان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11047,f
11048,سیدمحمد پاک مهر,,بجنورد، مانه، سملقان، جاجرم، گرمه، راز و جرگلان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11048,f
11049,مسعود پزشکیان,,تبریز، آذرشهر و اسکو,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11049,f
11050,نصرالله پژمان‌فر,,مشهد و کلات,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11050,f
11051,محمدرضا پورابراهیمی داورانی,,کرمان و راور,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11051,f
11052,محسن پیرهادی,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11052,f
11054,سیدرضا تقوی,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11054,f
11055,رضا تقی پورانوری,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11055,f
11056,مجتبی توانگر,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11056,f
11289,فتح‌الله توسلی,,بهار، کبودرآهنگ,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11289,f
11057,احمد جباری,,بندرلنگه، بستک و پارسیان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11057,f
11058,علی جدی,,شیروان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11058,f
11060,امیرقلی جعفری بروجنی,,بروجن,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11060,f
11061,وحید جلال زاده,,ارومیه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11061,f
11062,حسین جلالی,,رفسنجان و انار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11062,f
11063,عبدالکریم جمیری,,بوشهر، گناوه و دیلم,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11063,f
11065,عباس جهانگیرزاده,,پارس آباد و بیله سوار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11065,f
11064,محمدصالح جوکار,,یزد، اشکذر،بخش ندوشن و دهستان سورک,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11064,f
11281,شبیب جویجری,,اهواز، باوی، حمیدیه و کارون,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11281,f
11066,هاجر چنارانی,,نیشابور و فیروزه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11066,f
11067,حسین حاتمی,,کلیبر، خداآفرین و هوراند,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11067,f
11068,حمیدرضا حاجی بابائی,,همدان و فامنین,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11068,f
11069,رضا حاجی پور,,آمل,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11069,f
11070,حسینعلی حاجی دلیگانی,,شاهین شهر، میمه و برخوار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11070,f
11071,انور حبیب زاده بوکانی,,بوکان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11071,f
11072,علی حدادی,,ساوجبلاغ، نظرآباد و طالقان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11072,f
11073,شهباز حسن پوربیگلری,,سیرجان و بردسیر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11073,f
11074,فریدون حسنوند,,اندیمشک,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11074,f
11075,امان اله حسین پور,,اسفراین,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11075,f
11076,کمال حسین پور,,پیرانشهر و سردشت,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11076,f
11077,حسین حسین زاده,,لارستان، خنج، گراش و اوز,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11077,f
11078,محمدحسین حسین زاده بحرینی,,مشهد و کلات,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11078,f
11079,اسماعیل حسین زهی,,خاش، میرجاوه، کورین و نصرت آباد,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11079,f
11080,سیدالبرز حسینی,,خدابنده,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11080,f
11081,سیدشمس الدین حسینی,,تنکابن، رامسر و عباس آباد,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11081,f
11082,سیدکریم حسینی,,اهواز، باوی، حمیدیه و کارون,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11082,f
11290,سیدمرتضی حسینی میانه,,میانه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11290,f
11083,سیدجواد حسینی کیا,,سنقر و کلیایی,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11083,f
11291,سیدناصر حسینی‌پور گچساران,,گچساران و باشت,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11291,f
11084,روح الله حضرت پورطلاتپه,,ارومیه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11084,f
11085,حسین حق وردی,,شهریار، قدس و ملارد,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11085,f
11086,قدرت الله حمزه شلمزاری,,اردل، فارسان، کوهرنگ و کیار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11086,f
11087,شهریار حیدری,,قصرشیرین، سرپل ذهاب و گیلانغرب,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11087,f
11089,سید مسعود خاتمی,,گلپایگان و خوانسار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11089,f
11088,سیدمرتضی خاتمی,,ماهنشان و ایجرود,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11088,f
11090,سیداحسان خاندوزی (مستعفی),,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11090,f
11091,علی اصغر خانی,,شاهرود و میامی,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11091,f
11092,محمد خدابخشی,,الیگودرز,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11092,f
11093,حسین خسروی اسفزار,,بیرجند، درمیان و خوسف,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11093,f
11094,علی خضریان,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11094,f
11095,یوسف داودی,,سراب,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11095,f
11096,عبدالناصر درخشان,,ایرانشهر،سرباز، دلگان، فنوج ، بمپور، بخشهاي بنت، لاشار، آشار و آهوران,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11096,f
11097,محمدرضا دشتی اردکانی,,اردکان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11097,f
11098,سیدکاظم دلخوش اباتری,,صومعه‌سرا,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11098,f
11099,احمد دنیامالی,,بندرانزلی,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11099,f
11100,الهویردی دهقانی,,ورزقان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11100,f
11101,حبیب الله دهمرده,,زابل، زهک، هیرمند، نیمروز و هامون,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11101,f
11102,سیدمحسن دهنوی,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11102,f
11103,سیدسلمان ذاکر,,ارومیه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11103,f
11104,مجتبی ذوالنوری,,قم,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11104,f
11105,حسین رئیسی,,میناب، رودان، جاسک، سیریک و بشاگرد,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11105,f
11106,جعفر راستی,,شبستر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11106,f
11107,احمد راستینه هفشجانی,,شهرکرد، بن و سامان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11107,f
11282,حسین رجایی,,لنجان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11282,f
11108,رجب رحمانی,,تاکستان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11108,f
11109,فاطمه رحمانی,,مشهد و کلات,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11109,f
11110,بهزاد رحیمی,,سقز و بانه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11110,f
11111,جلیل رحیمی جهان آبادی,,تربت‌جام، تایباد، باخرز و صالح آباد,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11111,f
11112,عبدالعلی رحیمی مظفری,,سروستان، کوار و خرامه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11112,f
11113,حسن رزمیان مقدم,,درگز,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11113,f
